minute,original_velocity,filtered_velocity,prediction
1970-01-01 00:01:00,-7.936476445580224e-17,-7.936476445580224e-17,0
1970-01-01 00:02:00,-7.381173267537149e-17,-7.381173267537149e-17,0
1970-01-01 00:03:00,4.606068912520674e-17,4.606068912520674e-17,0
1970-01-01 00:04:00,-1.4910200542108023e-16,-1.4910200542108023e-16,0
1970-01-01 00:05:00,2.695996321248518e-16,2.695996321248518e-16,0
1970-01-01 00:06:00,-1.916829750628579e-15,-1.916829750628579e-15,1
1970-01-01 00:07:00,1.268805208270315e-15,1.268805208270315e-15,1
1970-01-01 00:08:00,1.925105038370446e-15,1.925105038370446e-15,1
1970-01-01 00:09:00,-1.1477425794639485e-16,-1.1477425794639485e-16,1
1970-01-01 00:10:00,2.278977314490475e-15,2.278977314490475e-15,0
1970-01-01 00:11:00,-9.244607680974963e-15,-9.244607680974963e-15,0
1970-01-01 00:12:00,2.2812325334489845e-14,2.2812325334489845e-14,0
1970-01-01 00:13:00,-2.1683610492370925e-14,-2.1683610492370925e-14,0
1970-01-01 00:14:00,2.3694474669998465e-14,2.3694474669998465e-14,0
1970-01-01 00:15:00,-2.6398359884350535e-14,-2.6398359884350535e-14,0
1970-01-01 00:16:00,1.6089408437886216e-14,1.6089408437886216e-14,0
1970-01-01 00:17:00,-3.7139759521285394e-14,-3.7139759521285394e-14,0
1970-01-01 00:18:00,2.2654242166019065e-14,2.2654242166019065e-14,0
1970-01-01 00:19:00,7.594787486520493e-14,7.594787486520493e-14,0
1970-01-01 00:20:00,-4.3195943868974457e-14,-4.3195943868974457e-14,0
1970-01-01 00:21:00,-5.4758862641066156e-14,-5.4758862641066156e-14,0
1970-01-01 00:22:00,-4.224953830748941e-14,-4.224953830748941e-14,0
1970-01-01 00:23:00,-1.6723688534664787e-15,-1.6723688534664787e-15,0
1970-01-01 00:24:00,1.1716148861576886e-13,1.1716148861576886e-13,0
1970-01-01 00:25:00,1.2382056318103043e-13,1.2382056318103043e-13,0
1970-01-01 00:26:00,-1.3683459586433389e-13,-1.3683459586433389e-13,0
1970-01-01 00:27:00,9.415391321059446e-14,9.415391321059446e-14,0
1970-01-01 00:28:00,-1.689776764322232e-13,-1.689776764322232e-13,0
1970-01-01 00:29:00,-3.3367191511557095e-14,-3.3367191511557095e-14,0
1970-01-01 00:30:00,2.528565272355315e-13,2.528565272355315e-13,0
1970-01-01 00:31:00,-1.9446979791958233e-13,-1.9446979791958233e-13,0
1970-01-01 00:32:00,6.962347413778187e-14,6.962347413778187e-14,0
1970-01-01 00:33:00,-2.6756167573611946e-14,-2.6756167573611946e-14,0
1970-01-01 00:34:00,-1.0638491698897516e-13,-1.0638491698897516e-13,0
1970-01-01 00:35:00,2.548776610259729e-13,2.548776610259729e-13,0
1970-01-01 00:36:00,-4.4023939586950366e-13,-4.4023939586950366e-13,1
1970-01-01 00:37:00,2.9667916459635656e-13,2.9667916459635656e-13,0
1970-01-01 00:38:00,-4.979268969985005e-14,-4.979268969985005e-14,0
1970-01-01 00:39:00,-1.514236285054075e-13,-1.514236285054075e-13,0
1970-01-01 00:40:00,3.0158448494550954e-13,3.0158448494550954e-13,0
1970-01-01 00:41:00,-2.9271312235292254e-13,-2.9271312235292254e-13,0
1970-01-01 00:42:00,1.0009697883202257e-12,1.0009697883202257e-12,1
1970-01-01 00:43:00,-6.664327163636372e-13,-6.664327163636372e-13,0
1970-01-01 00:44:00,2.670335067256089e-13,2.670335067256089e-13,1
1970-01-01 00:45:00,-3.30804541786289e-13,-3.30804541786289e-13,1
1970-01-01 00:46:00,1.3225134052198268e-13,1.3225134052198268e-13,1
1970-01-01 00:47:00,8.722413257896092e-14,8.722413257896092e-14,1
1970-01-01 00:48:00,-6.989015152249904e-14,-6.989015152249904e-14,0
1970-01-01 00:49:00,-3.46441803397359e-13,-3.46441803397359e-13,0
1970-01-01 00:50:00,-7.795951165559312e-13,-7.795951165559312e-13,0
